Date,Close,Open,High,Low
03/22/23,284.1,286.49,288.8,282.95
03/21/23,286.2,287,287.5,284
03/20/23,287,293,293,284.99
03/17/23,292.15,294.9,294.9,291.02
03/16/23,292.55,296.95,296.95,292.51
03/15/23,294.65,298.5,298.5,294.51
03/14/23,297.5,298.99,298.99,297.5
03/13/23,298.5,298.51,299.38,297.4
03/10/23,298.51,299.6,299.94,298.5
03/09/23,299.5,300,300,299.05
03/08/23,299.5,300.5,300.5,299
03/07/23,299.91,300,300.89,299.3
03/06/23,300.04,301.43,301.89,299.01
03/03/23,301.02,304.48,305.98,300.5
03/02/23,304.5,300.44,304.9,299.5
03/01/23,300,300,300.49,297.11
02/28/23,300,297.2,301,297.2
02/27/23,298.5,297.51,298.74,297.5
02/24/23,299,299.5,299.5,297
02/23/23,298.95,298.48,299.24,297
02/22/23,299.9,299.94,300,297.6
02/21/23,299.9,301.5,301.5,299.01
02/20/23,300.04,301.49,301.9,299.75
02/17/23,300.98,299.99,304.78,300
02/16/23,299.75,294.9,301,293.8
02/15/23,298.5,296.01,299.74,294.9
02/14/23,297.5,300,301.9,296
02/13/23,297.75,295.3,299.5,294.29
02/10/23,294.03,295.02,298,290.55
02/09/23,298.9,297.95,302.75,297.5
02/08/23,298,295.96,298,292.1
02/07/23,295.5,299.99,301.49,294.5
02/06/23,300,301.95,302.5,296.25
02/03/23,300.14,308,308.8,298.1
02/02/23,306.5,298,307.15,295.15
02/01/23,297.56,300,302.95,296
01/31/23,299.55,286,299.9,286
01/30/23,284.5,288.9,293.49,284.4
01/27/23,289.63,296.7,296.73,288.66
01/26/23,295,288.26,299.5,286
01/25/23,285.5,275,289.48,275
01/24/23,272.5,265,274,264.99
01/23/23,263.98,266.45,266.45,262.25
01/20/23,265.88,266.2,268.5,263
01/19/23,267,271.5,271.5,266.5
01/18/23,270.02,267.5,270.9,265.5
01/17/23,265.6,273.25,275.99,260.56
01/16/23,274.06,278,278.5,273
01/13/23,278.17,278.99,279.82,276.01
01/12/23,280,282.01,284,279
01/11/23,280.56,284.7,285,279.2
01/10/23,284.32,282,286.8,282
01/09/23,280.2,284,285,279.23
01/06/23,284.68,279.4,287.98,276.98
01/05/23,278.5,272.49,279.5,272.49
01/04/23,270.7,271,274.99,269
01/03/23,269.85,271.5,272,263.11
01/02/23,270.24,262.99,274.99,262.99
12/30/22,262,259.01,264,259.01
12/29/22,260.8,257.01,261.98,256.18
12/28/22,257,263,263,253.5
12/27/22,260.25,265.45,265.45,260.25
12/26/22,264.9,259,265.4,259
12/23/22,261,262,263,257.5
12/22/22,262.12,262,265,260.11
12/21/22,260,264.9,268,259.7
12/20/22,264,273,273.25,264
12/19/22,272.71,276.01,276.01,272
12/16/22,275.5,277.05,281,274.6
12/15/22,277,282,289.19,276
12/14/22,268,269.2,271,266.31
12/13/22,269.5,261,270,260.5
12/12/22,260.62,261.5,262.5,260.35
12/09/22,262.01,265.34,265.34,261.14
12/08/22,262.15,264.25,264.25,260.15
12/07/22,261.9,263,264.95,261.05
12/06/22,261.5,261.1,263.89,260.5
12/05/22,260.6,266.7,267.25,260.2
12/02/22,266,265.95,268.1,262.1
12/01/22,264.1,263.97,267.9,262.99
11/30/22,262.5,261.45,264.49,258.76
11/29/22,259.4,261.1,268.99,257.51
11/28/22,262.02,264.5,265.2,258.1
11/25/22,268.4,266,269.89,266
11/24/22,264,261.5,266.01,261.01
11/23/22,262,260.38,262.75,259.3
11/22/22,260.15,254.25,266.5,254.25
11/21/22,254.75,255,258.95,253.5
11/18/22,257.5,257.85,261,253.16
11/17/22,256.7,261,261,254.5
11/16/22,257.7,245.4,262.85,244.25
11/15/22,244.51,241.95,244.75,240.17
11/14/22,241.71,243.09,244.8,241.06
11/11/22,245,245,246.25,244
11/10/22,245,243,246.6,243
11/08/22,244.1,240.11,245,240.11
11/07/22,241.25,239.5,242.5,239.5
11/04/22,241.99,239.94,242.49,237
11/03/22,240.83,240.48,241,237.7
11/02/22,240.3,238.99,242.1,237.7
11/01/22,239,235.5,239.89,235.5
10/31/22,236,235.9,236.4,234.2
10/28/22,234.62,233.6,236.36,232
10/27/22,244.9,243.06,248.5,243.06
10/26/22,246.29,248.99,249,244.75
10/25/22,248.5,246.2,249.74,246
10/24/22,247.25,248.2,248.79,246.9
10/21/22,246.26,244.9,247,242.2
10/20/22,243.97,243.5,244.5,241.51
10/19/22,242.3,239,242.99,237.6
10/18/22,236,235.48,237.48,235.01
10/17/22,235.9,237.95,238,235.51
10/14/22,237.49,237.95,238,236.8
10/13/22,237.4,237.52,238,236.51
10/12/22,237.6,238.99,239.5,236.9
10/11/22,238.5,238.01,241.1,237.6
10/10/22,238.3,240,242,236.8
10/07/22,239.6,236.4,242,235
10/06/22,236.25,231.3,237.5,231.3
10/05/22,232.39,233.65,234,232
